# Instrument response (observed / reference). Reference: a0v.dat. Method: raw obs/ref, Balmer-interpolated (±40 Å), tellurics preserved, off-telluric smooth FWHM=40 Å.
# wavelength_A  value
5720.3439  2.423781e+05
5728.0926  2.419672e+05
5735.8407  2.418116e+05
5743.5882  2.418331e+05
5751.3351  2.419613e+05
5759.0814  2.421935e+05
5766.8270  2.425640e+05
5774.5721  2.430643e+05
5782.3165  2.436074e+05
5790.0602  2.440667e+05
5797.8033  2.443376e+05
5805.5457  2.443726e+05
5813.2874  2.441886e+05
5821.0284  2.438584e+05
5828.7688  2.434766e+05
5836.5084  2.431053e+05
5844.2473  2.427454e+05
5851.9855  2.423697e+05
5859.7230  2.419748e+05
5867.4597  2.415736e+05
5875.1957  2.411256e+05
5882.9309  2.405049e+05
5890.6653  2.395863e+05
5898.3990  2.383861e+05
5906.1318  2.371040e+05
5913.8639  2.360107e+05
5921.5952  2.352879e+05
5929.3256  2.349585e+05
5937.0553  2.349281e+05
5944.7841  2.350683e+05
5952.5120  2.352810e+05
5960.2391  2.355247e+05
5967.9654  2.358011e+05
5975.6907  2.361207e+05
5983.4152  2.364788e+05
5991.1388  2.368588e+05
5998.8615  2.372493e+05
6006.5833  2.376441e+05
6014.3042  2.380254e+05
6022.0242  2.383561e+05
6029.7432  2.385972e+05
6037.4613  2.387354e+05
6045.1784  2.387982e+05
6052.8946  2.388436e+05
6060.6098  2.389303e+05
6068.3241  2.390824e+05
6076.0373  2.392692e+05
6083.7495  2.394195e+05
6091.4608  2.394655e+05
6099.1710  2.393850e+05
6106.8802  2.392163e+05
6114.5884  2.390450e+05
6122.2955  2.389728e+05
6130.0016  2.390707e+05
6137.7066  2.393253e+05
6145.4105  2.396179e+05
6153.1134  2.397726e+05
6160.8152  2.396587e+05
6168.5159  2.392703e+05
6176.2154  2.387235e+05
6183.9139  2.381871e+05
6191.6112  2.378096e+05
6199.3074  2.376720e+05
6207.0025  2.377596e+05
6214.6964  2.379566e+05
6222.3892  2.380841e+05
6230.0807  2.379808e+05
6237.7712  2.375858e+05
6245.4604  2.369735e+05
6253.1484  2.363074e+05
6260.8352  2.357287e+05
6268.5208  2.352604e+05
6276.2052  2.348177e+05
6283.8883  2.343194e+05
6291.5702  2.337789e+05
6299.2509  2.332795e+05
6306.9303  2.328832e+05
6314.6084  2.325916e+05
6322.2852  2.323787e+05
6329.9608  2.322260e+05
6337.6351  2.321123e+05
6345.3080  2.320016e+05
6352.9797  2.318648e+05
6360.6500  2.317087e+05
6368.3190  2.315672e+05
6375.9866  2.314649e+05
6383.6529  2.313967e+05
6391.3178  2.313371e+05
6398.9814  2.312551e+05
6406.6436  2.311133e+05
6414.3044  2.308662e+05
6421.9638  2.304790e+05
6429.6218  2.299517e+05
6437.2784  2.293147e+05
6444.9335  2.285973e+05
6452.5872  2.278183e+05
6460.2395  2.270150e+05
6467.8904  2.262631e+05
6475.5397  2.256437e+05
6483.1876  2.251839e+05
6490.8341  2.248426e+05
6498.4790  2.245534e+05
6506.1224  2.242753e+05
6513.7644  2.239979e+05
6521.4048  2.237176e+05
6529.0437  2.234222e+05
6536.6811  2.230992e+05
6544.3169  2.227467e+05
6551.9512  2.223726e+05
6559.5839  2.219876e+05
6567.2151  2.216014e+05
6574.8446  2.212253e+05
6582.4726  2.208798e+05
6590.0990  2.206013e+05
6597.7238  2.204412e+05
6605.3469  2.204519e+05
6612.9685  2.206619e+05
6620.5884  2.210578e+05
6628.2067  2.215881e+05
6635.8233  2.221889e+05
6643.4383  2.228048e+05
6651.0516  2.233854e+05
6658.6632  2.238654e+05
6666.2731  2.241652e+05
6673.8813  2.242280e+05
6681.4879  2.240664e+05
6689.0927  2.237664e+05
6696.6958  2.234341e+05
6704.2971  2.231317e+05
6711.8967  2.228580e+05
6719.4946  2.225804e+05
6727.0907  2.222751e+05
6734.6851  2.219371e+05
6742.2776  2.215634e+05
6749.8684  2.211380e+05
6757.4574  2.206325e+05
6765.0445  2.200183e+05
6772.6299  2.192800e+05
6780.2134  2.184255e+05
6787.7951  2.174871e+05
6795.3750  2.165065e+05
6802.9530  2.155076e+05
6810.5292  2.144568e+05
6818.1035  2.132239e+05
6825.6759  2.115682e+05
6833.2464  2.091991e+05
6840.8150  2.104935e+05
6848.3817  2.046373e+05
6855.9466  1.959136e+05
6863.5094  1.885555e+05
6871.0704  1.855179e+05
6878.6294  1.846019e+05
6886.1865  1.847434e+05
6893.7416  1.880431e+05
6901.2947  1.896842e+05
6908.8459  1.904715e+05
6916.3950  1.909980e+05
6923.9422  1.913416e+05
6931.4874  1.916707e+05
6939.0305  1.920789e+05
6946.5717  1.925356e+05
6954.1108  1.929419e+05
6961.6478  1.932076e+05
6969.1828  1.932970e+05
6976.7158  1.932416e+05
6984.2467  1.931290e+05
6991.7755  1.930640e+05
6999.3022  1.931173e+05
7006.8268  1.932933e+05
7014.3494  1.935348e+05
7021.8698  1.937547e+05
7029.3880  1.938732e+05
7036.9042  1.938470e+05
7044.4182  1.936872e+05
7051.9301  1.934546e+05
7059.4398  1.932291e+05
7066.9473  1.930664e+05
7074.4527  1.929744e+05
7081.9558  1.929199e+05
7089.4568  1.928374e+05
7096.9556  1.926123e+05
7104.4521  1.920535e+05
7111.9465  1.909013e+05
7119.4386  1.888899e+05
7126.9285  1.858445e+05
7134.4161  1.817797e+05
7141.9014  1.769792e+05
7149.3845  1.720146e+05
7156.8653  1.676362e+05
7164.3438  1.574020e+05
7171.8201  1.581108e+05
7179.2940  1.600894e+05
7186.7656  1.646852e+05
7194.2349  1.676797e+05
7201.7019  1.698087e+05
7209.1665  1.619891e+05
7216.6287  1.579306e+05
7224.0886  1.560386e+05
7231.5462  1.548771e+05
