# Instrument response (observed / reference). Reference: a0v.dat. Method: spline through 14 anchors.
# wavelength_A  value
5736.6433  1.357693e+05
5744.3890  1.356441e+05
5752.1344  1.355194e+05
5759.8796  1.353955e+05
5767.6247  1.352724e+05
5775.3694  1.351506e+05
5783.1140  1.350300e+05
5790.8582  1.349111e+05
5798.6023  1.347939e+05
5806.3460  1.346787e+05
5814.0895  1.345657e+05
5821.8327  1.344551e+05
5829.5756  1.343471e+05
5837.3182  1.342420e+05
5845.0606  1.341398e+05
5852.8026  1.340402e+05
5860.5442  1.339433e+05
5868.2856  1.338489e+05
5876.0266  1.337568e+05
5883.7673  1.336670e+05
5891.5076  1.335793e+05
5899.2475  1.334936e+05
5906.9871  1.334098e+05
5914.7263  1.333278e+05
5922.4652  1.332475e+05
5930.2036  1.331687e+05
5937.9416  1.330913e+05
5945.6793  1.330151e+05
5953.4165  1.329402e+05
5961.1533  1.328663e+05
5968.8896  1.327934e+05
5976.6255  1.327213e+05
5984.3610  1.326499e+05
5992.0960  1.325790e+05
5999.8306  1.325087e+05
6007.5647  1.324386e+05
6015.2983  1.323688e+05
6023.0314  1.322991e+05
6030.7640  1.322294e+05
6038.4961  1.321595e+05
6046.2277  1.320894e+05
6053.9588  1.320189e+05
6061.6894  1.319480e+05
6069.4194  1.318764e+05
6077.1489  1.318041e+05
6084.8779  1.317310e+05
6092.6062  1.316569e+05
6100.3341  1.315817e+05
6108.0613  1.315053e+05
6115.7880  1.314276e+05
6123.5141  1.313484e+05
6131.2395  1.312677e+05
6138.9644  1.311853e+05
6146.6887  1.311012e+05
6154.4123  1.310151e+05
6162.1353  1.309270e+05
6169.8577  1.308367e+05
6177.5795  1.307443e+05
6185.3005  1.306497e+05
6193.0210  1.305530e+05
6200.7407  1.304542e+05
6208.4598  1.303533e+05
6216.1782  1.302504e+05
6223.8959  1.301454e+05
6231.6129  1.300384e+05
6239.3292  1.299293e+05
6247.0448  1.298184e+05
6254.7597  1.297054e+05
6262.4738  1.295905e+05
6270.1872  1.294738e+05
6277.8999  1.293551e+05
6285.6117  1.292346e+05
6293.3229  1.291122e+05
6301.0332  1.289880e+05
6308.7428  1.288621e+05
6316.4516  1.287343e+05
6324.1596  1.286048e+05
6331.8668  1.284736e+05
6339.5732  1.283407e+05
6347.2788  1.282060e+05
6354.9836  1.280698e+05
6362.6875  1.279318e+05
6370.3906  1.277923e+05
6378.0928  1.276512e+05
6385.7942  1.275085e+05
6393.4947  1.273642e+05
6401.1943  1.272184e+05
6408.8930  1.270711e+05
6416.5909  1.269224e+05
6424.2879  1.267721e+05
6431.9840  1.266204e+05
6439.6791  1.264673e+05
6447.3733  1.263129e+05
6455.0667  1.261570e+05
6462.7590  1.259998e+05
6470.4505  1.258412e+05
6478.1409  1.256814e+05
6485.8305  1.255203e+05
6493.5190  1.253579e+05
6501.2066  1.251942e+05
6508.8932  1.250293e+05
6516.5788  1.248630e+05
6524.2634  1.246951e+05
6531.9470  1.245256e+05
6539.6296  1.243544e+05
6547.3111  1.241813e+05
6554.9917  1.240062e+05
6562.6712  1.238290e+05
6570.3496  1.236496e+05
6578.0270  1.234679e+05
6585.7033  1.232837e+05
6593.3786  1.230970e+05
6601.0528  1.229076e+05
6608.7259  1.227154e+05
6616.3979  1.225202e+05
6624.0688  1.223221e+05
6631.7386  1.221208e+05
6639.4073  1.219163e+05
6647.0749  1.217084e+05
6654.7413  1.214970e+05
6662.4066  1.212820e+05
6670.0707  1.210634e+05
6677.7337  1.208409e+05
6685.3955  1.206144e+05
6693.0562  1.203839e+05
6700.7156  1.201492e+05
6708.3739  1.199103e+05
6716.0310  1.196669e+05
6723.6869  1.194191e+05
6731.3415  1.191666e+05
6738.9950  1.189094e+05
6746.6472  1.186473e+05
6754.2982  1.183803e+05
6761.9479  1.181082e+05
6769.5964  1.178310e+05
6777.2437  1.175484e+05
6784.8896  1.172604e+05
6792.5343  1.169669e+05
6800.1778  1.166677e+05
6807.8199  1.163628e+05
6815.4607  1.160521e+05
6823.1002  1.157353e+05
6830.7384  1.154125e+05
6838.3753  1.150836e+05
6846.0109  1.147489e+05
6853.6451  1.144086e+05
6861.2780  1.140632e+05
6868.9095  1.137130e+05
6876.5397  1.133582e+05
6884.1684  1.129992e+05
6891.7959  1.126363e+05
6899.4219  1.122699e+05
6907.0465  1.119003e+05
6914.6698  1.115277e+05
6922.2916  1.111526e+05
6929.9120  1.107752e+05
6937.5310  1.103959e+05
6945.1486  1.100150e+05
6952.7647  1.096328e+05
6960.3794  1.092496e+05
6967.9926  1.088657e+05
6975.6043  1.084815e+05
6983.2146  1.080974e+05
6990.8234  1.077135e+05
6998.4307  1.073302e+05
7006.0365  1.069479e+05
7013.6409  1.065669e+05
7021.2437  1.061875e+05
7028.8450  1.058100e+05
7036.4447  1.054346e+05
7044.0429  1.050619e+05
7051.6396  1.046920e+05
7059.2348  1.043252e+05
7066.8284  1.039620e+05
7074.4204  1.036025e+05
7082.0108  1.032472e+05
7089.5997  1.028963e+05
7097.1869  1.025502e+05
7104.7726  1.022091e+05
7112.3567  1.018734e+05
7119.9391  1.015433e+05
7127.5200  1.012193e+05
7135.0992  1.009016e+05
7142.6767  1.005906e+05
7150.2527  1.002864e+05
7157.8269  9.998952e+04
7165.3995  9.970018e+04
7172.9705  9.941844e+04
7180.5397  9.914398e+04
7188.1073  9.887646e+04
7195.6732  9.861553e+04
7203.2374  9.836087e+04
7210.7999  9.811213e+04
7218.3607  9.786897e+04
7225.9197  9.763106e+04
7233.4770  9.739805e+04
7241.0326  9.716962e+04
7248.5864  9.694541e+04
7256.1385  9.672510e+04
7263.6888  9.650835e+04
7271.2374  9.629482e+04
7278.7841  9.608418e+04
7286.3291  9.587610e+04
7293.8723  9.567024e+04
7301.4137  9.546626e+04
7308.9532  9.526384e+04
7316.4910  9.506263e+04
7324.0269  9.486232e+04
7331.5610  9.466256e+04
7339.0932  9.446302e+04
7346.6237  9.426338e+04
7354.1522  9.406330e+04
7361.6789  9.386245e+04
7369.2037  9.366051e+04
7376.7266  9.345715e+04
7384.2476  9.325203e+04
7391.7668  9.304483e+04
7399.2840  9.283522e+04
7406.7994  9.262287e+04
7414.3128  9.240747e+04
7421.8242  9.218867e+04
7429.3338  9.196616e+04
7436.8414  9.173962e+04
7444.3470  9.150871e+04
7451.8507  9.127312e+04
7459.3524  9.103251e+04
7466.8522  9.078658e+04
7474.3499  9.053499e+04
7481.8457  9.027743e+04
7489.3395  9.001356e+04
7496.8312  8.974309e+04
7504.3210  8.946583e+04
7511.8087  8.918196e+04
7519.2944  8.889166e+04
7526.7780  8.859512e+04
7534.2596  8.829254e+04
7541.7392  8.798410e+04
7549.2167  8.767001e+04
7556.6921  8.735045e+04
7564.1655  8.702562e+04
7571.6367  8.669569e+04
7579.1059  8.636088e+04
7586.5730  8.602135e+04
7594.0379  8.567732e+04
7601.5008  8.532895e+04
7608.9615  8.497645e+04
7616.4201  8.462001e+04
7623.8765  8.425980e+04
7631.3308  8.389603e+04
7638.7829  8.352887e+04
7646.2329  8.315852e+04
7653.6807  8.278517e+04
7661.1263  8.240899e+04
7668.5697  8.203019e+04
7676.0110  8.164893e+04
7683.4500  8.126542e+04
7690.8868  8.087984e+04
7698.3214  8.049237e+04
7705.7538  8.010320e+04
7713.1839  7.971251e+04
7720.6118  7.932048e+04
7728.0375  7.892731e+04
7735.4608  7.853318e+04
7742.8820  7.813827e+04
7750.3008  7.774276e+04
7757.7174  7.734683e+04
7765.1316  7.695068e+04
7772.5436  7.655447e+04
7779.9533  7.615840e+04
7787.3606  7.576265e+04
7794.7656  7.536739e+04
7802.1683  7.497281e+04
7809.5687  7.457909e+04
7816.9667  7.418641e+04
7824.3624  7.379494e+04
7831.7557  7.340488e+04
7839.1466  7.301639e+04
7846.5352  7.262966e+04
7853.9213  7.224486e+04
7861.3051  7.186218e+04
7868.6865  7.148179e+04
7876.0655  7.110387e+04
7883.4420  7.072859e+04
7890.8161  7.035614e+04
7898.1878  6.998669e+04
7905.5571  6.962041e+04
7912.9239  6.925748e+04
7920.2882  6.889808e+04
7927.6501  6.854238e+04
7935.0095  6.819056e+04
7942.3665  6.784278e+04
7949.7209  6.749923e+04
7957.0729  6.716008e+04
7964.4223  6.682550e+04
7971.7692  6.649566e+04
7979.1137  6.617074e+04
7986.4556  6.585091e+04
7993.7949  6.553633e+04
