name,z,vmag,band,ra_deg,dec_deg,constellation
4C 74.26,0.104,15.13,V,310.6554,+75.1339,Cep
MARK  509,0.035,13.12,V,311.0404,-10.7233,Aqr
PKS 2049+175,0.195,14.41,R,312.8983,+17.7267,Del
ESO 235-IG26,0.051,13.6,V,314.8050,-52.0056,Ind
RXS J20593-3147,0.074,14.2,V,314.8367,-31.7931,Mic
SDSS J21000-0711,0.6,15.33,V,315.0054,-7.1931,Aqr
RXS J21015-4059,0.084,14.35,V,315.4000,-40.9975,Mic
NPM1G-05.0589,0.058,14.56,V,315.9079,-4.9278,Aqr
RXS J21079-3754,0.049,14.26,V,316.9992,-37.9025,Mic
GB6 B2107+3520,0.202,14.7,R,317.3825,+35.5492,Cyg
RXS J21127-3840,0.143,14.97,V,318.1875,-38.6714,Mic
PG 2112+059,0.457,15.77,V,318.7192,+6.1283,Equ
RXS J21158-1041,0.062,14.51,V,318.9637,-10.6894,Aqr
IRAS 21219-1757,0.113,14.5,V,321.1737,-17.7461,Cap
FIRST J21331+0125,0.75,15.51,V,323.2821,+1.4181,Aqr
PKS 2135-14,0.2,15.53,V,324.4383,-14.5486,Cap
FIRST J21398-0804,0.051,13.39,V,324.9625,-8.0817,Aqr
IRAS F21382-2659,0.129,14.6,V,325.2929,-26.7642,PsA
RXS J21435-2504,0.11,15.03,V,325.8946,-25.0686,PsA
OX 169,0.211,15.73,V,325.8979,+17.7303,Peg
IRAS 21431-0432,0.103,15.7,V,326.4408,-4.3011,Aqr
RXS J21470-2143,0.086,14.72,V,326.7508,-21.7233,Cap
CTS C10.20,1.51,15.6,O,327.4583,-44.7350,Gru
1WGA J2153.3-1513,0.078,14.7,V,328.3296,-15.2367,Cap
RXS J21548-4414,0.344,15.8,V,328.7125,-44.2347,Gru
PHL 1811,0.192,13.9,V,328.7558,-9.3733,Cap
HS 2154+2228,1.29,15.3,O,329.1971,+22.7139,Peg
RXS J21592+0952,0.1,15.52,V,329.8017,+9.8783,Peg
MS 21595-5713,0.084,15.5,V,330.7308,-56.9939,Ind
Q 2200-1816,1.16,15.3,O,330.7983,-18.0283,Aqr
B2 2201+31A,0.298,15.58,V,330.8121,+31.7606,Peg
CGRaBS J2204+3632,0.073,12.88,R,331.0879,+36.5436,Peg
RXS J22134-6455,0.071,14.51,V,333.3733,-64.9194,Tuc
XMS J22160-1743,1.849,15.6,R,334.0129,-17.7214,Aqr
XMS J22160-1752,1.319,15.6,R,334.0196,-17.8717,Aqr
RXS J22169-4451,0.136,15.1,O,334.2208,-44.8658,Gru
MARK  304,0.067,14.66,V,334.3008,+14.2392,Peg
NVSS J22233-0856,0.084,14.8,R,335.8387,-8.9414,Aqr
RXS J22418-4405,0.545,15.8,V,340.4804,-44.0828,Gru
IRAS 22419-6049,0.113,15.4,V,341.2975,-60.5653,Tuc
RXS J22453-4652,0.201,14.8,V,341.3350,-46.8700,Gru
RXS J22481-6803,0.096,14.63,V,342.0392,-68.0539,Ind
2RE J2248-510,0.102,15.43,V,342.1717,-51.1650,Gru
KUV 22497+1439,0.135,15.93,V,343.0333,+14.9136,Peg
MR 2251-178,0.064,14.36,V,343.5246,-17.5819,Aqr
PKS 2251+11,0.325,15.82,V,343.5437,+11.6106,Peg
Q 2252-2434,0.147,15.93,*,343.8542,-24.3083,Aqr
RXS J22583-0707,0.215,15.8,V,344.5775,-7.1189,Aqr
RXS J22593-5035,0.096,14.17,V,344.8446,-50.5919,Gru
RXS J23008-5545,0.142,15.05,V,345.2167,-55.7625,Gru
RXS J23018-5508,0.14,15.6,O,345.4667,-55.1419,Gru
PG 2302+029,1.052,15.8,V,346.1875,+3.1961,Psc
2E 2304-2258,0.193,15.3,O,346.9075,-22.7178,Aqr
RXS J23236+0908,0.068,14.8,V,350.9125,+9.1475,Peg
RXS J23259+2153,0.12,15.9,V,351.4771,+21.8878,Peg
HE 2336-5540,1.354,15.67,V,354.8054,-55.3969,Phe
PKS 2344+09,0.673,15.97,V,356.6542,+9.5125,Peg
RXS J23529+0320,0.086,14.3,V,358.2417,+3.3378,Psc
PKS 2354-35,0.049,13.9,V,359.2529,-34.7592,Scl
RXS J23578+1324,0.115,15.8,V,359.4742,+13.4025,Peg
RXS J23599+0833,0.084,15.4,V,359.9971,+8.5650,Psc
