css,names,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
796,"108759(Mb), -41:7219",108759,7765-2549-1,,5.9,Swk(Catchp),187.4892,-41.7364,Cen
803,"110813(Pec), S U Ma, S 452",110813,4162-785-1,159527362,7.4,S3/6e(KB),190.9842,+61.0931,UMa
804,"Henun 127, CSV 6957, S 453",110994,9521-302-1,383715654,6.7,"S5,1(Henun)",218.9179,-89.7714,Oct
807,"-42:7915, Henun 128, S 454",111374,7779-2349-1,,9.8,,192.3096,-43.0789,Cen
808,"-46:8238, Henun 129, S 455",,8249-1633-1,248108601,9.4,"S4,4(Henun)",193.3358,-47.1767,Cen
813,"-72:869, Henun 132, S 460",,9253-516-1,394042651,9.6,"S4,6(Henun)",197.7825,-73.1997,Mus
824,"-50:7894, Henun 137, S 467",,8273-694-1,241312526,9.1,,203.9762,-51.2119,Cen
826,"118685(Mb), Henun 138, S 468",118685,9251-1340-1,342898231,7.6,"S6,2(Henun)",205.2958,-71.8742,Mus
829,"-2:3726, Ste",119667,4970-1354-1,295680090,8.6,M1wkS(Ste),206.1871,-3.5372,Vir
832,"120179(Mb), Henun 140, S 472",120179,8668-369-1,207792130,8.2,"S3,1(Henun)",207.3125,-55.3817,Cen
836,"-2:3751, Ste",120832,4971-478-1,305805716,9.7,M3wkS(Ste),208.0054,-3.4797,Vir
839,"122434(Ma), Henun 143, S 476",122434,7811-2579-1,242168797,9.2,"S3,1(Henun)",210.7037,-41.9825,Cen
840,MacCon79,,,329216495,9.6,S4*3(MacCon79),211.3296,-61.3553,Cen
841,"-51:7960, MacCon82",,8276-80-1,329130729,9.6,S4*2(MacCon82),211.7917,-52.4769,Cen
844,MacCon79,,9017-931-1,448768584,10.0,S1*2(MacCon79),213.1787,-66.9597,Cir
848,MacCon79,,8690-504-1,262859793,9.2,S4*3(MacCon79),216.0354,-58.4339,Cen
853,"126320(Ma), MacCon79",126320,9006-867-1,386011248,7.8,S4*2(MacCon79),216.7721,-60.2897,Cen
855,"-2:3848, Ste",,4980-372-1,288028877,9.3,,216.9500,-3.0786,Vir
856,"127226(Md), R Cam, S 483",127226,4634-2021-1,158001237,7.9,S4/4e(KB),214.4621,+83.8325,Cam
864,"130859(Ma), Henun 149, S 486",130859,7820-365-1,160340357,9.6,"S4,2(Henun)",222.9204,-37.9797,Cen
866,"131169(Np), S Lup, S 487",131169,,455387899,8.0,Se(Merr),223.3596,-46.6156,Lup
867,"131217(Ma), Henun 150, S 488",131217,9020-1539-1,296107877,7.3,"S6,2(Henun)",223.7342,-61.0756,Cir
873,"Henun 154, S 492",,9266-453-1,403074421,10.0,"S4,2(Henun)",227.4892,-72.4686,Aps
874,"-44:9880, Catchp(S)",,7833-2290-1,160540924,9.4,,227.0517,-44.7353,Lup
879,MacCon79,,8694-664-1,125811691,10.0,S3*2(MacCon79),228.1658,-52.7864,Lup
908,Ste,143633,,49602068,9.7,M3wkS(Ste),240.5021,-11.2925,Sco
926,Ste,147923,3881-656-1,207462862,9.2,M2[S](Ste),245.4008,+56.8772,Dra
932,Ste,,394-37-1,276754306,9.7,,249.2625,+7.3722,Her
937,Ste,150922,5641-427-1,203481855,7.4,M2S(Ste),251.1762,-14.0781,Oph
938,Ste,151011,6225-645-1,73678669,7.7,Swk(Ste),251.3754,-19.1356,Oph
954,"Henun 172, RT Sco, S 514",153858,,346770392,7.0,"S7,2(Henun)",255.8800,-36.9206,Sco
964,"155819(K5), D 4244(S?), S 517",155819,411-972-1,347654786,8.7,"S(Bidun), M3(K)",258.4250,+5.7992,Oph
966,"Sndlk, Henun 206, S 518",,6245-1060-1,74003846,9.0,"S2,5(Henun)",259.2492,-21.9172,Oph
968,MacCon82,,5074-269-1,58964309,10.0,S4*4(MacCon82),259.5204,-5.2272,Oph
976,"Vys 17, FT Ser, Ste(S!), S 524",,,429682741,10.0,"S5,8(Henun)",260.4217,-14.6056,Ser
981,"+23:3093, Vys 11, Ste, S 527",,2074-1649-1,237109646,9.9,S3/3(KB),260.5296,+23.8189,Her
982,MacCon79,,7891-1595-1,217887930,9.6,S4*3(MacCon79),261.3671,-42.0556,Sco
994,"160379(Mb), Henun 179, S 531",160379,8729-2262-1,97292148,9.2,"S5,2(Henun)",265.6596,-53.9656,Ara
996,Ste,160522,5085-1003-1,180275876,8.2,S:(Ste),265.1279,-2.8675,Oph
1010,"163896(Ma), Wray 318(SE), S 537",163896,7378-1785-1,263921593,9.0,"S4,2(Henun)",269.9571,-30.3244,Sgr
1012,MacCon79,,5686-569-1,103077611,9.6,S4*2(MacCon79),269.7971,-14.6172,Ser
1013,"Nass64 4-4, S 540",,430-35-1,404572060,9.3,,270.1254,+0.5619,Oph
1014,"164392(K5), Henun 183, S 541",164392,9063-1182-1,411920704,8.6,,271.4092,-65.1650,Pav
1017,MacCon82,,438-864-1,382695121,10.0,S4*2(MacCon82),270.3062,+4.7339,Oph
1023,"165774(Ma), Henun 186, S 544",165774,7404-3021-1,330960059,8.3,"S4,6(Henun)",272.3250,-36.9689,Sgr
1024,"Nass64 4-5, Ste, S 545",,,17878753,10.0,,271.9583,+0.4694,Oph
1025,"165843(K5), Henun 187, S 546",165843,9290-176-1,387061225,8.5,"S2,1(Henun)",273.3462,-67.8136,Pav
1028,Ste,341663,1579-917-1,235603790,9.3,M2wkS(Ste),272.7212,+21.5694,Her
1031,Ste,167539,1567-1070-1,166410969,8.2,M4wkS(Ste),273.7721,+16.2614,Her
1053,"170970(Ma), DolJim(M7Se), S 561",170970,2636-435-1,289241104,7.6,S3/1(KB),277.6513,+36.2533,Lyr
1057,MacCon79,,7394-301-1,405206524,9.6,S4*3(MacCon79),278.7433,-30.1447,Sgr
1063,"S-WS 10, NassSte, S 570",,,174555899,10.0,,279.5500,-5.4278,Sct
1069,MacCon79,,,203646809,10.0,S1.5*2(MacCon79),280.3554,-6.8197,Sct
1070,"+6:3898, D 5027, V679 Oph, S 574",172804,459-548-1,449222140,9.0,S5/6(KB),280.4896,+6.8175,Oph
1077,MacCon79,,,146219179,10.0,S4*4(MacCon79),281.9167,-7.1347,Sct
1087,"Ste, TU Dra(M4e)",,,48216159,10.0,M6S(Ste),282.8742,+48.9122,Dra
1095,MacCon82,,6873-1131-1,377132358,10.0,S3*3(MacCon82),285.4437,-23.7181,Sgr
1096,"176592(Md), ST Sgr, S 586",176592,5715-1103-1,414242154,7.6,S6/3e(KB),285.3704,-12.7589,Sgr
1108,"Nass64 4-12, S 592",,,7302777,10.0,,288.1408,-1.5656,Aql
1115,"W Aql, NassSte, S 597",,5142-2895-1,125146283,7.8,S6/6e(KB),288.8487,-7.0486,Aql
1117,"180196(Pec), T Sgr, S 598",180196,6300-2353-1,130287244,7.7,S5/6e(KB),289.0600,-16.9697,Sgr
1126,MacCon79,,5713-256-1,98784431,9.2,S2*4(MacCon79),290.5358,-10.3458,Aql
1136,"Nass64 4-15, S 607",,469-985-1,136559982,10.0,,291.6662,+3.5667,Aql
1140,"-21:5435, MacCon82, Ste",184185,6310-1156-1,124759560,9.2,S3*4(MacCon82),293.5000,-20.9344,Sgr
1144,Ste,184833,5731-2008-1,242699172,9.3,M3wkS(Ste),294.1729,-11.3692,Aql
1150,"185456(S), R Cyg, S 616",185456,3564-982-1,27082559,6.5,S6/6e(KB),294.2046,+50.1997,Cyg
1151,"-20:5669, MacCon82, Ste",,6307-1593-1,68883964,9.5,S3*4(MacCon82),295.6987,-20.1947,Sgr
1165,"187796(Md), Chi Cyg, S 625",187796,2673-4643-1,83403878,3.3,S7/1.5e(KB),297.6408,+32.9142,Cyg
1170,"188339(K5), -38:13778",188339,7934-1093-1,300550436,6.6,Swk(Catchp),299.0454,-38.3200,Sgr
1173,"-18:5539, MacCon82, Ste",188674,6317-1231-1,242012326,8.7,S2*3(MacCon82),299.2442,-18.3611,Sgr
1178,"189581(Ma), +0:4382, MacCon82",189581,494-1067-1,421605791,8.7,S4*2(MacCon82),300.1575,+1.3653,Aql
1181,Ste,,,421703442,9.7,,300.3725,+4.4272,Aql
1183,MacCon82,356644,1076-1622-1,367210856,10.0,S3*2(MacCon82),300.7096,+10.5964,Aql
1190,Ste,357941,5161-1996-1,243748230,9.3,M4S(Ste),301.9321,-1.6231,Aql
1191,"+57:2134, S Cyg, Merr(MS), S 635",,,233374690,9.3,S6/3e(KB),301.3725,+57.9861,Cyg
1192,"191226(K5), +36:3883, CSV 8427",191226,2683-716-1,41763511,7.4,M1S-M3SIIIa(KB),301.8550,+36.5733,Cyg
1193,"+4:4354, MacCon82, Ste(M3S)",,503-320-1,399039756,9.5,S4*3(MacCon82),302.1721,+5.0136,Aql
1194,"191589(K5), +33:3766",191589,2675-3119-1,378397500,7.7,"S:(Bid57),S(Ste)",302.3675,+33.6775,Cyg
1195,"191630(S), -62:1317, S 636",191630,9090-1247-1,466232301,7.9,"S4,4(Henun)",303.6054,-62.2839,Pav
1198,"Henun 223(S5,2), Ste(MS), S 639",192446,1622-199-1,88018225,9.8,S6/1(KB),303.6079,+17.0142,Sge
1216,"NassSte 16, S 649",,2160-779-1,436176629,10.0,,306.4625,+25.2856,Vul
1225,Ste,195700,6330-377-1,429229789,9.5,M2S(Ste),308.3429,-15.5992,Cap
1226,"195763(Pec), Z Del, S 652",195763,,372823330,8.3,S4/2e(KB),308.1629,+17.4517,Del
1232,"S-WS 63, FF Cyg, NassSte, S 655",,,64809620,8.2,S5/6e(KB),309.7183,+37.8889,Cyg
1242,Ste,347581,2171-480-1,224712142,9.7,M2wkS(Ste),312.7612,+23.5008,Vul
1254,"199799(Ma), +44:3649, Ste, S 670",199799,3179-265-1,329329553,8.0,MS(Ste),314.4712,+44.7889,Cyg
