name,hd,tyc,tic,vartype,maxmag,minmag,names,ra_deg,dec_deg,constellation
DE Cir,,,455637054,N,7.7,,,229.4687,-61.9546,Cir
GW Lib,,,225798235,UGWZ,9.0,18.5,,229.9810,-25.0070,Lib
IL Nor,137677,,144875699,NB,7.0,18.0,HD 137677/HV 25,232.3463,-50.5833,Nor
Lib,,,,UGSU,11.5,15.4,ASAS 153616-0839.1,234.0667,-8.6521,Lib
PQ Ser,139512,1500-869-1,345589782,NL:,8.1,,HIP 76538,234.4742,+21.4407,Ser
IM Nor,,,,NRB,7.8,22.0,HV 3532,234.8603,-52.3217,Nor
CT Ser,,,119860183,N,7.9,16.6,,236.4128,+14.3756,Ser
T CrB,143454,2037-1144-1,462607643,NRA,2.0,11.3,BD +26 2765,239.8757,+25.9202,CrB
Oph,,,,N:,11.5,21.0,NSV 7542,243.3784,-5.3107,Oph
V341 Nor,,,,N:,9.4,17.0,,243.4350,-53.3189,Nor
V893 Sco,,,68693903,UG,10.6,14.5,SVS 1772,243.8124,-28.6256,Sco
T Sco,,,,N:,7.0,22.2,,244.2618,-22.9754,Sco
X Ser,,,362486010,NB:,8.9,18.3,HV 3137,244.8238,-2.4917,Ser
V382 Nor,,,,N,8.9,,Nova Normae 2005,244.9364,-51.5814,Nor
U Sco,,,413482626,NRB,8.8,19.5,BD -17 4554,245.6284,-17.8789,Sco
OY Ara,,,,NA,6.0,17.5,HD 149990,250.2095,-52.4309,Ara
AH Her,,2049-1115-1,236005060,UGZ,11.3,14.7,SVS 32,251.0417,+25.2506,Her
RW UMi,,,,NB/UG,6.0,18.5,SVS 1359,251.9783,+77.0367,UMi
V840 Oph,,,,NA:,6.5,19.3,HV 3522,253.6830,-29.6241,Oph
V841 Oph,,,434649444,NB,4.2,13.5,BD -12 4633,254.8765,-12.8909,Oph
V992 Sco,,,126173199,NA,8.3,17.2,,256.8227,-43.2560,Sco
V2214 Oph,,,,NB/AM,8.5,20.5,,258.0066,-29.6259,Oph
V1186 Sco,,,46764644,NB,10.9,,ASAS 171251-3056.6,258.2137,-30.9438,Sco
V2573 Oph,,,,N,10.6,,Nova Oph 2003,259.8087,-27.3764,Oph
V2264 Oph,,,,NA,9.9,21.0,,260.0868,-26.7740,Oph
V2109 Oph,,,,N,10.8,18.0,,261.0664,-24.6139,Oph
BB Oph,,,,N:,11.3,19.0,HV 3985,261.1251,-24.8017,Oph
V2295 Oph,,,,NA,9.0,21.0,,261.2767,-23.1864,Oph
V902 Sco,,,,NB,11.0,20.0,He 3-1401,261.5346,-39.0681,Sco
V906 Oph,,,,NA,8.4,13.0,,261.5404,-21.9078,Oph
V908 Oph,,,,N,11.5,14.0,,261.9625,-27.7500,Oph
V1187 Sco,,,,N,7.4,,Nova Sco 2004 No. 2,262.3284,-31.7671,Sco
AT Ara,,,218450024,UGSS,11.5,14.9,HV 6551,262.6408,-46.0995,Ara
V2487 Oph,,,230772569,NA,9.5,17.7,,262.9992,-19.2322,Oph
V972 Oph,,,198318835,NB,8.0,17.5,,263.6853,-28.1765,Oph
V2313 Oph,,,,NA,7.5,12.5,,263.9359,-19.3261,Oph
V2540 Oph,,,,NB,8.5,21.0,,264.3934,-16.3883,Oph
V2574 Oph,,,,N,10.3,,,264.6896,-23.4718,Oph
V794 Oph,,,235024198,NB,11.7,18.0,,264.7051,-22.8469,Oph
V728 Sco,,,30090567,N::,5.0,20.0,N Ara 1862,264.8012,-45.4792,Sco
V2024 Oph,,,,N,11.0,18.0,,265.5875,-24.9833,Oph
V721 Sco,,,193690620,N,10.1,18.0,He 3-1458,265.6212,-34.6782,Sco
V2290 Oph,,,,NA,9.3,19.0,,265.7729,-20.1153,Oph
KP Sco,,,,NA:,9.4,21.0,HV 4716,266.0686,-35.7232,Sco
V1188 Sco,,,,N,8.9,,Nova Sco 2005,266.0900,-34.2766,Sco
V719 Sco,,,,NA,9.8,20.5,He 3-1473,266.4325,-34.0151,Sco
V4744 Sgr,,,,NA,9.7,20.0,N Sgr 2002 No. 4,266.8401,-23.4726,Sgr
Sco,,,,N,11.0,21.0,NSV 9663,266.9083,-33.1986,Sco
V707 Sco,320693,,,NA,9.9,20.0,HV 3618,267.1099,-36.6319,Sco
V722 Sco,,,,NA,9.4,13.0,,267.1542,-34.9639,Sco
V3888 Sgr,,,437685383,N,9.0,21.0,,267.1690,-18.7602,Sgr
V1274 Sgr,,,,N/SN:,9.5,13.0,SN s1954a,267.2292,-17.8667,Sgr
V378 Ser,,,,N,11.8,19.5,,267.3524,-12.9998,Ser
V3964 Sgr,,,420940925,NA,9.4,17.0,,267.4273,-17.3932,Sgr
V723 Sco,,,,NA/NRA:,9.8,19.0,,267.5217,-35.3994,Sco
RS Oph,162214,5094-550-1,6348255,NRA,4.3,12.5,BD -6 4661,267.5548,-6.7079,Oph
V1172 Sgr,,,335748186,N,9.0,18.0,,267.5981,-20.6751,Sgr
V697 Sco,,,,NA/DQ,10.2,20.0,,267.8410,-37.4153,Sco
V977 Sco,,,444823053,N,9.4,21.0,,267.9598,-32.5334,Sco
LW Ser,,,,NA,8.3,20.6,,267.9620,-14.7307,Ser
V382 Sco,,,,N:,9.5,22.0,HV 7006,267.9839,-35.4182,Sco
V720 Sco,,,,N,7.5,21.0,He 3-1503,267.9917,-35.3894,Sco
V696 Sco,,,256217523,NA,7.5,19.5,,268.2980,-35.8376,Sco
V4092 Sgr,,,,N:,10.5,,,268.4250,-29.0357,Sgr
V711 Sco,,,257261181,N:,9.7,19.0,HV 3061,268.5250,-34.3544,Sco
V1141 Sco,,,,N,8.5,17.6,,268.5467,-30.0478,Sco
V4643 Sgr,,,133754112,NA,8.1,16.0,,268.6686,-26.2376,Sgr
V4642 Sgr,,,,NA,10.4,19.0,,268.7910,-19.7669,Sgr
V745 Sco,,,258891666,NRA,11.2,21.0,,268.8427,-33.2499,Sco
V1142 Sco,,,,NA,6.9,20.0,,268.8541,-31.0282,Sco
MU Ser,,,,NA,7.7,21.0,,268.9699,-14.0214,Ser
V732 Sgr,316633,,134567220,NA,6.5,16.0,HDE 316633,269.0312,-27.3716,Sgr
V960 Sco,,,,N,10.5,20.0,,269.1422,-31.8268,Sco
V1178 Sco,,,260747077,NA,10.2,17.5,HadV92,269.2788,-32.3847,Sco
V990 Sgr,,,136018807,NA:,11.1,14.7,,269.3292,-28.3186,Sgr
V3889 Sgr,,,,NA:,8.4,21.0,,269.5888,-28.3646,Sgr
V1275 Sgr,,,469401519,NA,7.0,18.0,N Sco 1954,269.7763,-36.3113,Sgr
V4338 Sgr,,,,UG:,8.0,14.0,,269.8257,-29.1647,Sgr
V4135 Sgr,,,,N,10.0,21.5,,269.9378,-32.2724,Sgr
V4741 Sgr,,,,NA,9.2,18.0,N Sgr 2002 No. 1,269.9985,-30.8890,Sgr
V787 Sgr,316917,,,NA:,9.8,21.0,HDE 316917,270.0092,-30.5086,Sgr
V999 Sgr,163982,,,NB,8.0,17.4,HD 163982,270.0233,-27.5539,Sgr
V394 CrA,,,,NRB,7.2,18.8,N Sco 1949,270.1082,-39.0097,CrA
FL Sgr,,,,NA:,8.3,20.0,HV 4003,270.1258,-34.6036,Sgr
KY Sgr,,,196008675,NA:,10.6,20.0,HV 4480,270.3371,-26.4114,Sgr
V4742 Sgr,,,,NA,8.0,18.0,N Sgr 2002 No. 2,270.5911,-25.3423,Sgr
V4027 Sgr,,,,N,11.0,21.0,,270.6217,-28.7555,Sgr
V2104 Oph,,,,N,8.8,20.5,,270.8542,+11.7992,Oph
AT Sgr,,,,NA:,11.0,19.0,HV 1149,270.8786,-26.4746,Sgr
V4579 Sgr,,,406563804,NB,11.0,16.5,NSV 24159,270.9077,-28.0021,Sgr
Sgr,,,,N,10.5,,NSV 10158,271.3000,-29.9064,Sgr
V1572 Sgr,,,,N,11.0,16.0,,271.4042,-31.6286,Sgr
V1012 Sgr,,,,NA:,8.0,20.0,HV 3531,271.5583,-31.7408,Sgr
V1014 Sgr,,,,NA:,10.9,20.0,HV 3312,271.6904,-27.4376,Sgr
V737 Sgr,,,,N:,10.3,19.0,V908 Sgr,271.7863,-28.7478,Sgr
DQ Her,,,332624864,NA/DQ,1.3,14.6,452.1934,271.8761,+45.8589,Her
V4444 Sgr,,,248414728,NA/NR,7.7,21.0,,271.9009,-27.3371,Sgr
V927 Sgr,,,,NA,8.0,20.0,,271.9279,-33.3548,Sgr
V426 Oph,,,18053590,UGZ/DQ:,11.5,19.4,29.1926/SVS 83,271.9654,+5.8633,Oph
V4121 Sgr,,,,N,9.5,21.0,,271.9782,-28.8241,Sgr
V630 Sgr,321353,,,NA,4.5,17.5,HDE 321353,272.2010,-34.3393,Sgr
V1015 Sgr,,,,NA:,7.1,21.0,HV 3529,272.2625,-32.4711,Sgr
V1148 Sgr,,,248847384,N,8.0,16.0,,272.2750,-25.9922,Sgr
V4157 Sgr,,,,NA,7.0,21.0,,272.3954,-25.8662,Sgr
V5113 Sgr,,,,N,9.0,,N Sgr 2003 No. 2,272.5434,-27.7598,Sgr
UZ Ser,,,,UGSS,11.9,16.0,56.1924,272.8536,-14.9261,Ser
V4740 Sgr,,,,NA,6.5,18.0,N Sgr 2002 No. 3,272.9416,-30.5138,Sgr
V4327 Sgr,,,,NA,7.7,,,273.2076,-29.4847,Sgr
V1830 Sgr,,,,UG,11.5,17.5,,273.4610,-27.7058,Sgr
V849 Oph,167276,,,NB,7.3,17.0,HD 167276,273.5304,+11.6118,Oph
V4160 Sgr,,,,NA,7.0,19.0,,273.5576,-32.2079,Sgr
V1175 Sgr,,,,N,7.0,12.0,,273.5708,-31.1189,Sgr
V533 Her,,,76191504,NA,3.0,14.8,,273.5853,+41.8561,Her
V1583 Sgr,,,,NA:,8.9,21.0,HV 12320,273.8596,-23.3884,Sgr
V4074 Sgr,,7392-1189-2,,NB/Z AN,8.6,,AS 295B,274.0221,-30.8542,Sgr
V5115 Sgr,,,,N,7.8,,Nova Sagittarii 2005,274.2457,-25.9441,Sgr
FM Sgr,,,,NA:,8.6,20.5,HV 3994,274.3254,-23.6409,Sgr
V5116 Sgr,,,,N,8.1,,Nova Sgr 2005 No. 2,274.4616,-30.4423,Sgr
V1149 Sgr,,,,NB,7.4,21.0,,274.6267,-28.2881,Sgr
V928 Sgr,,,,NB,8.9,20.5,,274.7471,-28.1000,Sgr
V5114 Sgr,,,,N,8.4,17.5,Nova Sgr 2004,274.8845,-28.6099,Sgr
V726 Sgr,315532,,,NA,10.8,19.0,HDE 315532,274.8904,-26.8888,Sgr
V4065 Sgr,,,128371774,N:,9.0,14.0,,274.9083,-24.7322,Sgr
V1016 Sgr,,,128376490,NA,8.5,17.0,HV 3306,274.9903,-25.1872,Sgr
V4633 Sgr,,,49767197,NA,7.4,20.0,,275.4186,-27.5272,Sgr
V441 Sgr,315574,,,NA,8.7,,HDE 315574,275.5337,-25.4816,Sgr
GR Sgr,,,50001570,N,11.4,16.6,HV 4012,275.7440,-25.5798,Sgr
V4169 Sgr,,,,NA,7.8,12.6,,275.8622,-28.3666,Sgr
V4171 Sgr,,,,NA,8.0,20.5,,275.9222,-22.9913,Sgr
V4361 Sgr,,,,N,10.6,16.9,,275.9269,-18.1208,Sgr
V655 CrA,,,,N,8.0,17.6,,276.1862,-36.9958,CrA
V4739 Sgr,,,,NA,7.2,18.0,N Sgr 2001 No. 2,276.1918,-30.0114,Sgr
V1151 Sgr,,,,NB,11.1,20.0,,276.3490,-20.1998,Sgr
V909 Sgr,,,,NA,6.8,20.0,,276.4679,-35.0241,Sgr
V3941 Sgr,,,52353617,UG:,11.5,14.0,,276.4928,-29.4303,Sgr
BS Sgr,,,52606392,NB,9.2,17.0,INN 4a,276.6947,-27.1389,Sgr
HS Sgr,,,,NB:,11.5,16.5,HV 4011,277.0143,-21.5735,Sgr
V4362 Sgr,,,432597778,NB,8.0,15.0,,277.5963,-17.1991,Sgr
V3890 Sgr,,,226364061,NRA,8.4,17.2,GS 1826-24,277.6804,-24.0191,Sgr
FH Ser,,,404785276,NA,4.5,17.6,,277.6960,+2.6147,Ser
V2572 Sgr,,,,NA:,6.5,18.0,BV 1262,277.9031,-32.5994,Sgr
V1017 Sgr,,,226703160,NB/DN:,7.2,13.7,HV 3519,278.0186,-29.3867,Sgr
V476 Sct,,,,N,9.9,,Nova Scuti 2005,278.0198,-6.7262,Sct
V1905 Sgr,,,,N:,9.1,19.0,,278.4254,-25.3450,Sgr
V463 Sct,,,,NA,9.9,20.0,HadV46,278.5130,-14.7534,Sct
V4077 Sgr,,,,NB,8.0,22.0,,278.6642,-26.4341,Sgr
V1310 Sgr,,,405207196,NB:,11.7,15.5,,278.7542,-30.0599,Sgr
V4021 Sgr,,,,NA,8.8,18.0,,279.5583,-23.3797,Sgr
V477 Sct,,,,N,10.4,,Nova Sct 2005 No. 2,279.6789,-12.2710,Sct
Her,,,,UGWZ,11.8,17.1,OT_J183926+260410,279.8590,+26.0694,Her
V4745 Sgr,,,,N,7.4,17.0,N Sgr 2003,280.0106,-33.4488,Sgr
Oct,,,,UGSU,11.2,15.0,NSV 10934,280.2183,-83.7193,Oct
