name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
V0359 Lup,,,,9.3,243.0,Me,228.0628,-31.1797,Lup
R Lyn,51610,3771-416-1,14339761,7.2,378.75,"S2.5,5e-S6,8e:",105.3250,+55.3305,Lyn
S Lyn,47929,3774-1234-1,11734134,8.5,296.34,M6e-M8.2e,101.1421,+57.9111,Lyn
T Lyn,,2474-66-1,172823929,8.8,406.0,"C5,2e-C7,1e(NOe)",125.6785,+33.5193,Lyn
U Lyn,,3778-635-1,444911921,8.8,433.6,M7e-M9.5:e,100.1936,+59.8672,Lyn
W Lyn,,2977-1953-1,10053881,7.5,295.2,M6,124.1953,+40.1314,Lyn
X Lyn,,2489-574-1,172829413,9.5,320.8,M5e,126.3806,+35.4038,Lyn
S Lyr,,,403295219,9.8,438.4,SCe,288.2992,+26.0079,Lyr
U Lyr,,3134-1708-1,122223400,8.3,451.72,"C4,5e(N0e)",290.0381,+37.8767,Lyr
V Lyr,178876,,416399587,8.2,373.53,M7e,287.2689,+29.6582,Lyr
W Lyr,167740,2634-439-1,76197064,7.3,197.88,M2e-M8e,273.7328,+36.6703,Lyr
Z Lyr,,,20822804,9.2,291.7,M4e-M5.5:e,284.9033,+34.9545,Lyr
RS Lyr,,,29815885,9.2,301.41,M5e,288.2555,+33.4136,Lyr
RT Lyr,,3120-678-1,399792574,9.1,253.7,M5e,285.3120,+37.5222,Lyr
RU Lyr,,,121463886,9.5,371.84,M6e:-M8e,288.0885,+41.3037,Lyr
RW Lyr,173798,,123313769,9.8,503.75,M7e,281.2921,+43.6354,Lyr
RY Lyr,,,68669898,9.0,325.79,M5e-M6e,281.2171,+34.6759,Lyr
SS Lyr,180162,3546-227-1,158663846,8.4,346.33,M5IIIe,288.3147,+46.9822,Lyr
TW Lyr,,,288752627,9.5,376.71,M6,275.9850,+39.5851,Lyr
TY Lyr,337648,,407078996,9.0,333.71,M8e,287.4486,+28.0721,Lyr
V0895 Lyr,,,,9.8,450.0,M8III,291.2461,+36.0284,Lyr
R Mic,196717,6933-1209-1,212344517,8.3,138.62,M4e,310.0125,-28.7920,Mic
S Mic,204045,6950-315-1,301193807,7.8,209.68,M3e-M5.5,321.6837,-29.8513,Mic
U Mic,194814,7953-426-1,290663195,7.0,334.29,M5e-M7e,307.3157,-40.4170,Mic
V Mic,203495,7983-693-1,207080641,9.4,381.15,M3e-M6e,320.9533,-40.7014,Mic
X Mic,200460,,92653030,9.8,239.64,M4e-M5e,316.1535,-33.2799,Mic
RX Mic,,,29393705,9.5,239.75,,313.6100,-27.7378,Mic
RY Mic,,,355096413,9.6,198.2,,314.5966,-40.2320,Mic
BP Mic,,,114949787,3.79,,,315.0872,-36.9195,Mic
BQ Mic,,,115190815,3.45,,,317.5312,-38.5179,Mic
V Mon,44639,4789-1256-1,251261382,6.0,340.5,M5e-M8e,95.6816,-2.1954,Mon
Y Mon,51189,752-2693-1,235484512,8.6,227.9,M4e-M8.2e,104.2172,+11.2423,Mon
RR Mon,56567,,320737433,8.4,394.7,"S7,2e-S8,2e/M6-10",109.3812,+1.0950,Mon
RS Mon,,,292453951,9.82,263.79,M3e-M6e:,106.8702,+4.9862,Mon
RX Mon,59334,4825-1462-1,64919971,9.6,345.7,M6e-M9,112.3388,-4.2788,Mon
SY Mon,292010,,52907076,9.6,422.17,M6e-M9,99.3805,-1.3953,Mon
TT Mon,,4829-262-1,64511372,8.0,323.17,M5e-M8,111.4193,-5.8504,Mon
V0654 Mon,,,,6.1,,,95.4646,-3.8448,Mon
V0713 Mon,,,,7.75,,,96.3636,-9.5350,Mon
V0870 Mon,,,,8.4,293.0,,117.0034,-2.5946,Mon
V0923 Mon,,,,4.92,584.0,,104.7736,+3.6323,Mon
V0932 Mon,,,,5.31,594.0,C,107.6456,-1.1904,Mon
CR Mus,,,361676837,9.5,206.0,Me,194.6588,-74.2864,Mus
QZ Mus,,9237-2206-1,454637544,9.6,535.0,Ce,173.4912,-73.2220,Mus
V0339 Mus,,,,2.76,586.0,C,194.3157,-69.0309,Mus
R Nor,138743,8304-824-1,188956616,6.5,507.5,M3e-M6II,233.9890,-49.5080,Nor
T Nor,140041,8700-1519-1,67074885,6.2,240.7,M3e-M6e,236.0160,-54.9868,Nor
SS Nor,,,207604787,9.9,461.0,Me,243.3411,-59.7826,Nor
PT Nor,,,207444748,8.0,,M9,243.2575,-54.4636,Nor
V0353 Nor,,,,7.38,,,243.6323,-51.7888,Nor
V0402 Nor,,,,4.85,716.0,C,232.5080,-57.2127,Nor
V0458 Nor,,,,5.84,710.0,C,242.8913,-48.3308,Nor
V0480 Nor,,,,4.25,560.0,C,245.2101,-48.1148,Nor
V0566 Nor,,,,6.6,551.0,,242.7585,-55.3204,Nor
R Oct,40857,9500-47-1,410417579,6.4,405.39,M5.5e,81.5258,-86.3883,Oct
S Oct,158413,9531-1046-1,451568818,7.2,259.0,M4(II)e-M5e,272.1855,-86.7988,Oct
T Oct,200286,9473-160-1,401704307,8.8,218.5,M2e-M4(II:)e,318.5063,-82.1094,Oct
U Oct,115486,9508-2809-1,383481163,7.0,308.44,M4e-M6(II-III)e,201.1359,-84.2253,Oct
CM Oct,,,318044783,6.36,,,305.9912,-78.6604,Oct
R Oph,154721,6232-1335-1,399538525,7.0,306.5,M4e-M6e,256.9409,-16.0928,Oph
S Oph,,6220-435-1,414217679,8.9,233.51,M5e,248.5634,-17.1609,Oph
T Oph,,,414163872,8.8,366.82,M6.5e,248.4315,-16.1318,Oph
V Oph,148182,5634-769-1,413757508,7.3,297.21,"C5,2-C7,4e(N3e)",246.6821,-12.4266,Oph
W Oph,,,135934576,9.3,332.68,M8e,245.3519,-7.6999,Oph
X Oph,172171,1025-1976-1,379682650,5.9,328.85,M5e-M9e,279.5880,+8.8341,Oph
Z Oph,156801,400-791-1,327112898,7.6,348.7,K3ep-M7.5e,259.8838,+1.5151,Oph
RR Oph,151592,,197944322,8.0,292.03,M3e-M7,252.2602,-19.4645,Oph
RT Oph,,,302484163,8.6,426.34,M7e(C),269.1335,+11.1695,Oph
RU Oph,,996-351-1,302786496,8.6,202.29,M3e-M5e,263.2193,+9.4236,Oph
RW Oph,,,302254082,9.7,246.71,M3IIIe,268.8354,+7.8302,Oph
RX Oph,,,326923123,9.8,322.93,M5,253.2004,+5.4074,Oph
RY Oph,167766,436-617-1,19672276,7.4,150.41,M3e-M6e,274.1539,+3.6931,Oph
SS Oph,153167,5055-152-1,189860736,7.8,180.64,M5e,254.4625,-2.7618,Oph
SV Oph,,421-854-1,266295502,9.4,215.93,M2e,269.1032,+3.3773,Oph
UX Oph,,5651-656-1,414559475,9.4,116.71,M4e,256.2374,-12.2015,Oph
V2207 Oph,,,181873874,8.4,,,255.0551,-10.6167,Oph
V2211 Oph,,,6753855,8.9,,,267.7915,-8.0226,Oph
V2254 Oph,,,20738311,8.94,,,255.9419,-29.8422,Oph
V2255 Oph,,,21807282,8.23,,,256.5444,-28.0894,Oph
V2256 Oph,,,22667827,9.36,,,256.8537,-28.6299,Oph
V2257 Oph,,,22681476,8.88,,,256.9407,-27.0884,Oph
V2258 Oph,,,22673240,9.35,,,256.9507,-28.0360,Oph
V2259 Oph,,,23031076,8.63,,,256.9665,-27.1894,Oph
V2260 Oph,,,23776842,7.44,,,257.3514,-28.0392,Oph
V2261 Oph,,,80097230,7.67,,,259.1152,-25.3339,Oph
V2262 Oph,,,80102623,8.5,,,259.1485,-25.9114,Oph
V2263 Oph,,,81378079,8.93,,,259.6952,-23.9823,Oph
V2265 Oph,,,82918533,7.26,,,260.0816,-24.6453,Oph
V2266 Oph,,,77079349,6.52,,,260.8088,-22.7946,Oph
V2267 Oph,,,102789044,9.66,,,261.4925,-21.0306,Oph
V2268 Oph,,,102794360,7.94,,,261.5147,-21.6268,Oph
V2269 Oph,,,103437488,7.45,,,261.6797,-21.6861,Oph
V2270 Oph,,,103674717,9.15,,,261.7868,-22.0896,Oph
V2271 Oph,,,103783391,8.24,,,261.8595,-21.5601,Oph
V2272 Oph,,,163470986,8.18,,,261.9756,-21.7103,Oph
V2273 Oph,,,,8.32,,,262.2754,-21.0711,Oph
V2275 Oph,,,166901376,9.8,,,262.4426,-21.4187,Oph
V2276 Oph,,,167989863,9.53,,,262.6377,-19.5904,Oph
V2277 Oph,,,,9.77,,,262.6645,-20.5292,Oph
V2278 Oph,,,230312976,8.14,,,262.9207,-19.9688,Oph
V2280 Oph,,,230759869,9.48,,,263.0632,-19.5526,Oph
V2281 Oph,,,231543506,8.44,,,263.3422,-19.5979,Oph
V2283 Oph,,,232812194,8.09,,,263.8194,-18.5931,Oph
V2284 Oph,,,416654490,9.76,,,264.6649,-17.1038,Oph
V2285 Oph,,,416901865,8.68,,,264.8552,-16.7106,Oph
V2286 Oph,,,417001476,8.9,,,264.9102,-16.9708,Oph
V2287 Oph,,,417635791,7.76,,,265.2855,-17.1001,Oph
