hbc,name,hd,tyc,tic,vmag,sptype,ytype,ra_deg,dec_deg,constellation
737,LkH@ 230,,,,16.7,cont(K3),tt,338.6026,+40.7021,Lac
738,LkH@ 231,,,,16.8,K4,tt,338.6185,+40.7003,Lac
739,LkH@ 232,,,,15.9,K3,tt,338.6411,+40.7040,Lac
313,LkH@ 233,,,,13.58,A7e@,ae,338.6708,+40.6677,Lac
314,LkH@ 350,,,,13.5,"B2,5e",*,342.2802,+62.1859,Cep
315,DI Cep,,3997-1587-1,367760801,11.31,G8 V:(Li),tt,344.0478,+58.6671,Cep
316,AS 501,,,,,M3-5e@,?,344.4206,+58.8201,Cas
740,MWC 1080/c,,,,15.5,K2,,349.3586,+60.8453,Cas
317,MWC 1080,,,,11.67,B0?eq,*,349.3586,+60.8453,Cas
741,AS 507,,,,,"G5,8 V(Li)",tt,350.2166,+74.2355,Cep
318,BM And,,,26369773,12.1,K5 V(Li) *,tt,354.4104,+48.4035,And
742,MacC H1,,,368372248,14.97,B8:e@,,358.1376,+68.4321,Cep
319,MacC H3,,,368381246,14.5,K2,tt,358.6112,+66.9052,Cep
320,MacC H19,,,326637109,14.62,K3,tt,359.3942,+64.7803,Cas
321,MacC H4,,,265464119,14.67,A9e@,ae,359.6730,+66.4370,Cas
322,MacC H5,,,265464193,15.8,K5,tt,359.8329,+66.3868,Cas
323,MacC H18 n,,,,14.21,K7,tt,0.5553,+64.9070,Cas
