bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
BD-15 1748,,56847,5965-1720-1,409195416,8.9,B7 III,109.5398,-15.6276,CMa
CD-36 3512,MWC   173,57150,7115-3016-1,23037766,4.66,B2 V,109.5765,-36.7336,Pup
CD-36 3519,,57219,7115-3017-1,23091719,5.11,"B2 IV,ne",109.6586,-36.7424,Pup
CD-23 5296,MWC   556,57393,6537-1761-1,106588668,9.1,B2 V nne,110.0241,-24.0852,CMa
BD- 8 1856,MWC   174,57386,5395-3567-1,319152335,8.02,"B1.5: V:,nnep",110.1787,-8.4205,Mon
CP-40 1431,HEN    33,57551,7634-1561-1,29786229,8.8,B8 III,109.9972,-40.4951,Pup
BD-10 2015,MWC   557,57775,5399-3900-1,187561113,9.2,Be*,110.6030,-10.8222,Mon
CD-22 4415,MWC   841,57910,6537-1843-1,412389937,9.3,Be*,110.6161,-23.0229,CMa
BD-20 1891,,,5978-1855-1,412448981,9.2,Be*,110.6532,-20.9133,CMa
CD-25 4439,MWC   175,58011,6541-308-1,107091862,7.11,B1 V nep,110.6798,-26.0108,CMa
BD-17 1944,,,5970-1417-1,412457923,11.3,Be*,110.7442,-17.9501,CMa
CD-31 4437,,58155,7108-4764-1,111384365,5.43,"B4 V,np",110.7530,-31.9237,CMa
BD+15 1564,MWC   176,58050,1347-553-1,14498757,6.41,"B2 V,e",111.1152,+15.5169,Gem
BD-15 1810,MWC   177,58343,5966-1288-1,385873047,5.33,B3 IV,111.1669,-16.2006,CMa
BD-19 1871,AS    151,,5974-178-1,412771733,11.1,Be*,111.2385,-20.1146,CMa
BD+ 8 1774,MWC   178,58715,764-2774-1,425224332,2.9,"B8 V,V",111.7881,+8.2893,CMi
BD-22 1874,MWC   179,58978,6538-2654-1,139385056,5.61,"B0 IV:,ep",111.7475,-23.0856,CMa
CP-41 1423,HEN    38,59197,7651-2212-1,173381049,8.11,B6 V,111.7471,-41.6289,Pup
BD-15 1837,MWC   561,59094,5966-2402-1,50030338,8.44,"B2 V:,nne",111.9620,-16.0937,Pup
CD-27 4108,MWC   562,59281,6546-2083-1,,8.46,Be*,112.0510,-27.3992,Pup
BD-13 2040,MWC   180,,5408-2102-1,50287852,8.72,Be*,112.2796,-13.7695,Pup
BD-21 1960,,59498,5991-3733-1,139853706,8.2,B2 V ne,112.3431,-21.8657,Pup
